dataset,seed_index,implementation,compression_ratio,memory_bytes
random-identifiers,21,BudgetSym,1.33683,105621
random-identifiers,22,Conventional,1,141270
random-identifiers,22,Interned,1.06003,133270
random-identifiers,22,BudgetSym,1.34025,105406
random-identifiers,23,Conventional,1,140595
random-identifiers,23,Interned,1.06033,132595
random-identifiers,23,BudgetSym,1.35298,103915
random-identifiers,24,Conventional,1,141700
random-identifiers,24,Interned,1.05984,133700
random-identifiers,24,BudgetSym,1.32802,106700
random-identifiers,25,Conventional,1,141522
random-identifiers,25,Interned,1.05992,133522
random-identifiers,25,BudgetSym,1.32977,106426
random-identifiers,26,Conventional,1,140731
random-identifiers,26,Interned,1.06027,132731
random-identifiers,26,BudgetSym,1.35408,103931
random-identifiers,27,Conventional,1,141321
random-identifiers,27,Interned,1.06001,133321
random-identifiers,27,BudgetSym,1.3331,106009
random-identifiers,28,Conventional,1,141444
random-identifiers,28,Interned,1.05995,133444
random-identifiers,28,BudgetSym,1.33181,106204
random-identifiers,29,Conventional,1,141381
random-identifiers,29,Interned,1.0602,133353
random-identifiers,29,BudgetSym,1.32871,106405
nested-scopes,0,Conventional,1,71621
nested-scopes,0,Interned,1.05915,67621
nested-scopes,0,BudgetSym,1.83997,38925
nested-scopes,1,Conventional,1,71684
nested-scopes,1,Interned,1.0591,67684
nested-scopes,1,BudgetSym,1.83881,38984
nested-scopes,2,Conventional,1,71735
nested-scopes,2,Interned,1.05905,67735
nested-scopes,2,BudgetSym,1.83747,39040
nested-scopes,3,Conventional,1,71918
nested-scopes,3,Interned,1.05889,67918
nested-scopes,3,BudgetSym,1.83347,39225
nested-scopes,4,Conventional,1,71729
nested-scopes,4,Interned,1.05906,67729
nested-scopes,4,BudgetSym,1.83798,39026
nested-scopes,5,Conventional,1,71819
nested-scopes,5,Interned,1.05898,67819
nested-scopes,5,BudgetSym,1.8361,39115
nested-scopes,6,Conventional,1,71694
nested-scopes,6,Interned,1.05909,67694
nested-scopes,6,BudgetSym,1.83831,39000
nested-scopes,7,Conventional,1,71775
nested-scopes,7,Interned,1.05902,67775
nested-scopes,7,BudgetSym,1.83765,39058
nested-scopes,8,Conventional,1,71700
nested-scopes,8,Interned,1.05908,67700
nested-scopes,8,BudgetSym,1.83851,38999
nested-scopes,9,Conventional,1,71809
nested-scopes,9,Interned,1.05899,67809
nested-scopes,9,BudgetSym,1.83617,39108
nested-scopes,10,Conventional,1,71705
nested-scopes,10,Interned,1.05908,67705
nested-scopes,10,BudgetSym,1.8384,39004
nested-scopes,11,Conventional,1,71741
nested-scopes,11,Interned,1.05905,67741
nested-scopes,11,BudgetSym,1.83739,39045
nested-scopes,12,Conventional,1,71511
nested-scopes,12,Interned,1.05925,67511
nested-scopes,12,BudgetSym,1.84364,38788
nested-scopes,13,Conventional,1,71657
nested-scopes,13,Interned,1.05912,67657
nested-scopes,13,BudgetSym,1.84071,38929
nested-scopes,14,Conventional,1,71769
nested-scopes,14,Interned,1.05902,67769
nested-scopes,14,BudgetSym,1.83675,39074
nested-scopes,15,Conventional,1,71869
nested-scopes,15,Interned,1.05894,67869
nested-scopes,15,BudgetSym,1.83447,39177
nested-scopes,16,Conventional,1,71727
nested-scopes,16,Interned,1.05906,67727
nested-scopes,16,BudgetSym,1.83765,39032
nested-scopes,17,Conventional,1,71672
nested-scopes,17,Interned,1.05911,67672
